מזהה,קטגוריה,השאלה המקורית,התשובה המשופרת (מהאפיון),"אמל""ק"
1,תהליך עבודה,כמה הצעות מחיר פתוחות יש בטיפול במקביל?,כ-10 הצעות מטופלות במקביל.,10 במקביל.
2,תהליך עבודה,כמה הצעות חדשות בשבוע?,כ-10 הצעות חדשות בשבוע.,10 בשבוע.
3,תהליך עבודה,אורך חיי הצעה?,"תלוי בלקוח, מחודשים ועד ימים. תהליך: שליחה, שיחה, בדיקה. ",משתנה מאוד.
4,תהליך עבודה,כמות פולו-אפים?,"משתנה, ממעקב יומי ועד שבועות של שיחות. ",תלוי עסקה.
5,תהליך עבודה,המידע הכי קריטי מול העיניים?,"מספר, תאריך, איש קשר, תוכן שיחה אחרונה ומועד הבאה. ",נתוני קשר וטיימליין.
6,תהליך עבודה,מאיפה מתבצעות השיחות?,"נייד עבודה או נייח בלבד, לא אישי. ",מכשירי עבודה.
7,תהליך עבודה,איך ההצעה עוברת ללקוח?,וואטסאפ (קליל) או מייל (רשמי).,וואטסאפ/מייל.
8,תהליך עבודה,הסיבה העיקרית לפספוס עסקאות? +1,"עומס, חוסר מעקב וחסם פסיכולוגי. ייפתר ע""י ""שגר ושכח"" ו""תחמושת מכירתית"". +2",הסרת חסמי עומס. +1
9,תהליך עבודה,יחס להצעות שונות?,"כולן חשובות, קטנות פותחות דלת לגדולות. ",יחס שווה לכולן.
10,תהליך עבודה,מתי מתעדכן ה-ERP?,מיידית בתום השיחה כדי לא לשכוח.,עדכון מיידי.
11,לוגיקת המערכת,האם להציג בבוקר את מי שחייבים לדבר איתו? +1,"כן, אך בנוסף לפרמטרים חכמים נוספים לתיעדוף. +1",תעדוף בוקר חכם.
12,לוגיקת המערכת,תעדוף למי להתקשר קודם? +1,קיים מנגנון תעדוף פנימי המבוסס על מספר משתנים. +1,תעדוף מבוסס אלגוריתם.
13,לוגיקת המערכת,התייחסות למשימה שפוספסה?,התראה אדומה בהתאם להגדרות/בחירת המשתמש. +1,התראה אדומה מותאמת.
14,לוגיקת המערכת,סיכום סוף יום/שבוע? +1,"כן, המערכת תפיק סיכום פעילות. +1",דוח יומי/שבועי.
15,לוגיקת המערכת,לספק תירוצים/סיבות להתקשרות? +1,"כן. ""תגיות שיחה מהירות"", משפטים מבוססי-זמן ומיקרו-טקסט כעוגני זיכרון. +1","מנוע ""תירוצים"" אוטומטי. "
16,לוגיקת המערכת,זמני פולו-אפ?,שילוב של זמנים קבועים מראש והזנה ידנית. +1,קבוע וידני משולב.
17,לוגיקת המערכת,מעקב אחוזי הצלחה? +1,"כן, קיים מעקב אחרי אחוזי סגירה. +1",גרף אחוזי הצלחה.
18,לוגיקת המערכת,"מדד ""טמפרטורת לקוח""? +1",יוצג ויחושב אוטומטית כחלק ממערך התעדוף. +1,מדד טמפרטורה אוטומטי. +1
19,לוגיקת המערכת,פידבק על הצלחות?,פידבק ויזואלי בוגר ומקצועי (ללא אנימציות ילדותיות). +1,פידבק מקצועי ובוגר.
20,לוגיקת המערכת,קשוחה או גמישה?,"זורמת וגמישה, אך מכוונת להשגת המטרה העסקית. +1",גמישה אך תכליתית.
21,סייבר ומגבלות,ייצוא אקסל מה-ERP?,חסום (דורש אישור מנהל שיסורב). המערכת תעבוד כסביבה נפרדת. +1,חסום ייצוא אקסל.
22,סייבר ומגבלות,פורמט ההצעות?,קבצי PDF מקומיים. +1,PDF על המחשב.
23,סייבר ומגבלות,שימוש בענן לנתונים חלקיים? +1,אפשרי באמצעות פיתוח Custom השומר על פרטיות. +1,ענן חלקי ומאובטח.
24,סייבר ומגבלות,איזה מידע אסור לשמור בחוץ?,"מחירים, שמות מלאים, כרטיסי לקוח ותוכן הצעות. +1",נתונים רגישים נחסמים.
25,סייבר ומגבלות,הזנה ידנית כפולה?,המשתמש מוכן להזין ידנית מספר שדות כדי לאפשר את הפתרון. +1,הזנה ידנית נדרשת.
26,סייבר ומגבלות,קישור לקובץ ההצעה? +1,"כפתור ""Copy Path"" המעתיק את נתיב הקובץ המקומי למניעת העלאה לענן. +2","""העתק-נתיב"" מקומי. "
27,סייבר ומגבלות,היכן מספרי הטלפון?,שמורים בנייד העבודה בלבד. +1,טלפונים בנייד בלבד.
28,סייבר ומגבלות,גישה למערכת?,תמיכה במספר פלטפורמות (Cross-Device) - עמדה במשרד ונייד בבית. +1,גישה מכל מכשיר.
29,סייבר ומגבלות,מגבלות על מחשב בעבודה?,לא קיימות מגבלות סייבר מיוחדות בתחנת הקצה. +1,אין מגבלות קצה.
30,סייבר ומגבלות,משתמשים נוספים?,"כרגע בודד, בעתיד תשתית להוספת קולגות ומנהל. +1",כרגע משתמש יחיד.
31,UI/UX,תצוגה מועדפת?,"דשבורד נקי, לחצנים נגישים, טאבים גדולים. +2",מינימליסטי ונגיש.
32,UI/UX,מסך מפוצל? +1,"מאושר. רשימה צרה בימין, חלון פעולות מורחב משמאל. +2",מסך מפוצל מיושם. +1
33,UI/UX,עיצוב נקי או גרפים?,שילוב של עיצוב נקי ומינימליסטי עם מדדים וגרפים. +1,נקי + מדדים.
34,UI/UX,אזור טקסט חופשי?,מאושר. +2,חופש כתיבה בהערות.
35,UI/UX,כמות קליקים לעדכון?,מקסימום 3 קליקים למניעת חיכוך תפעולי. +1,עד 3 קליקים.
36,UI/UX,כפתור נודניק (Snooze)?,"""דחייה מותנית"" – מחייב בחירת סיבה לדחייה כדי לייצר דאטה, ולא מתיר התעלמות. +1",דחייה מחייבת סיבה. +1
37,UI/UX,קיצורי מקלדת?,"ב-MVP יתחילו ללא קיצורים, ייושם בהמשך לפי צורך. +1",כרגע ללא קיצורים.
38,UI/UX,צבעים בולטים כהתראות?,"לא. שימוש ב""גישת המגירות"" (כגון: ""לטפל עכשיו"", ""מעקב"") במקום צבעים מציקים. +1","מיון מרחבי, לא צבעים. "
39,UI/UX,חיפוש גלובלי?,"כן, חיפוש חזק בתוך הערות, תגיות ומזהים. +2",מנוע חיפוש פנימי.
40,UI/UX,כמות סינונים (פילטרים)?,לפחות 10 ממדי סינון לשליפת נתונים מדויקת. +1,10+ מסננים לנתונים.
41,אינטגרציות,תוכנת מייל?,Outlook. +1,אאוטלוק בלבד.
42,אינטגרציות,בלוקים ביומן?,תמיכה בקביעת זמנים יזומה. +1,תמיכה ביומן יזומה.
43,אינטגרציות,העתקה ל-ERP?,לא מתוכנן ל-MVP (לא בטוח שצריך). +2,ללא סנכרון ל-ERP.
44,אינטגרציות,מייל כהערה? +1,"כן, המרת מיילים פנימה להערות. +1",Forward to Note.
45,אינטגרציות,פתיחת WhatsApp אוטומטית?,"מנגנון URL Scheme לפתיחת הודעות מוכנות בווטסאפ ללא API בתשלום (""שגר ושכח""). +2","ווטסאפ ""שגר ושכח"". +1"
46,אינטגרציות,הקלטה קולית לטקסט?,בתוכנית הפיתוח העתידית. +1,יפותח בעתיד.
47,אינטגרציות,יבוא אקסל בגרירה?,רצוי אך אינו אפשרי טכנית כרגע. +1,אין יבוא מגורר.
48,אינטגרציות,תבניות מייל אוטומטיות?,נשלל לחלוטין לשמירה על אותנטיות. +2,נפסל למען אנושיות.
49,אינטגרציות,התראות ב-Teams?,נפסל למניעת עומס והסחות דעת. +1,ללא התראות ארגוניות.
50,אינטגרציות,הפעולה השנואה ביותר?,"תחושת הצפה, אובדן זיכרון, והזנה כפולה ממחברת ל-ERP. +1",שכחה והזנה כפולה.
51,ארכיטקטורה,רקע בפיתוח?,"פיתוח מבוסס מנועי AI (Claude Code, Gemini). +3",פיתוח מונחה AI.
52,ארכיטקטורה,אחסון?,ענן מאובטח עם 2FA (שרת מקומי בעייתי לגישה מבחוץ). +2,ענן עם אימות 2FA.
53,ארכיטקטורה,הצפנת נתונים?,קריטי ומאושר. +2,הצפנה חובה.
54,ארכיטקטורה,Web או Desktop?,ארכיטקטורה היברידית ב-Tauri (React + Rust) - תוכנה שולחנית מאובטחת וענן מגבה. +2,Tauri Desktop + ענן. +1
55,ארכיטקטורה,גישה מאובטחת מהבית?,מאושר דרך 2FA או VPN. +1,2FA/VPN מהבית.
56,ארכיטקטורה,תקציב וזמן?,"זמן בלתי מוגבל, תקציב של עשרות שקלים בחודש. +1",מינימום הוצאות.
57,ארכיטקטורה,סוג מסד נתונים?,תלוי במה שיתאים לכלי ה-AI (מומלץ SQL לאור מורכבות הפילטרים). +2,יוחלט מול ה-AI.
58,ארכיטקטורה,גיבויים אוטומטיים?,מאושר. +1,גיבוי בענן.
59,ארכיטקטורה,הרשאות בעתיד?,תשתית ל-RBAC עתידי מאושרת. +2,הכנה למערכת הרשאות.
60,ארכיטקטורה,הכנה ל-API?,מאושר. +1,API עתידי.
61,מסד נתונים,שדות טבלת הצעה?,"מזהה מוסווה, תאריך, סטטוס, ותשתית להוספת שדות דינמיים. +1",סכמה גמישה.
